2020-03-23 100.00 0.8126 122.94  
2020-03-20 100.00 0.8375 119.28  
2020-03-19 100.00 0.8110 123.18  
2020-03-18 1000.00 0.8394 1190.14 
2020-03-17 1000.00 0.8623 1158.53 
2020-03-16 1000.00 0.8808 1134.20 
2020-02-28 1000.00 0.9085 1099.62 
2020-02-18 1000.00 0.9283 1076.16 
2020-02-17 1000.00 0.9331 1070.63 
2020-02-14 1000.00 0.9257 1079.18 
2020-02-13 1000.00 0.9280 1076.51 
2020-02-12 1000.00 0.9350 1068.45 
2020-02-11 1000.00 0.9324 1071.43 
2020-02-10 1000.00 0.9112 1096.36 
2020-02-06 1000.00 0.9014 1108.28 
2020-02-05 1000.00 0.8926 1119.20 
2020-02-04 1000.00 0.8809 1134.07 
2019-08-09 100.00 0.8983 111.21  
2019-08-07 100.00 0.8969 111.38  
2019-08-02 100.00 0.9117 109.58  
2019-08-01 100.00 0.9180 108.82  
2019-07-17 100.00 0.9607 103.99
{
    "puchase":[
        {"date":"2020-03-23", "amount":100.00, "T":0.8126, "hold_shared": 122.94 }
    ]
    "redemption":[
    ]
}
